year,date,team,team_id,opponent,opponent_id,home_away,team_score,opponent_score,total_score,team_win,moneyline,implied_prob,over_under,cover_ou
2026,2026-01-24,Portland St.,2026 Portland St.,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-01-29,Portland St.,2026 Portland St.,Montana,2026 Montana,Home,,,0,,,0,,
2026,2026-01-31,Portland St.,2026 Portland St.,Montana St.,2026 Montana St.,Home,,,0,,,0,,
2026,2026-02-02,Portland St.,2026 Portland St.,Idaho St.,2026 Idaho St.,Home,,,0,,,0,,
2026,2026-02-07,Portland St.,2026 Portland St.,Sacramento St.,2026 Sacramento St.,Away,,,0,,,0,,
2026,2026-02-12,Portland St.,2026 Portland St.,Northern Arizona,2026 Northern Arizona,Away,,,0,,,0,,
2026,2026-02-14,Portland St.,2026 Portland St.,Northern Colorado,2026 Northern Colorado,Away,,,0,,,0,,
2026,2026-02-19,Portland St.,2026 Portland St.,Idaho,2026 Idaho,Home,,,0,,,0,,
2026,2026-02-21,Portland St.,2026 Portland St.,Eastern Washington,2026 Eastern Washington,Home,,,0,,,0,,
2026,2026-02-26,Portland St.,2026 Portland St.,Montana St.,2026 Montana St.,Away,,,0,,,0,,
2026,2026-02-28,Portland St.,2026 Portland St.,Montana,2026 Montana,Away,,,0,,,0,,
2026,2026-03-02,Portland St.,2026 Portland St.,Weber St.,2026 Weber St.,Home,,,0,,,0,,
2026,2026-01-01,Sacramento St.,2026 Sacramento St.,Idaho St.,2026 Idaho St.,Away,,,0,,,0,,
2026,2026-01-03,Sacramento St.,2026 Sacramento St.,Weber St.,2026 Weber St.,Away,,,0,,,0,,
2026,2026-01-10,Sacramento St.,2026 Sacramento St.,Portland St.,2026 Portland St.,Away,,,0,,,0,,
2026,2026-01-15,Sacramento St.,2026 Sacramento St.,Northern Arizona,2026 Northern Arizona,Home,,,0,,,0,,
2026,2026-01-17,Sacramento St.,2026 Sacramento St.,Northern Colorado,2026 Northern Colorado,Home,,,0,,,0,,
2026,2026-01-22,Sacramento St.,2026 Sacramento St.,Idaho,2026 Idaho,Away,,,0,,,0,,
2026,2026-01-24,Sacramento St.,2026 Sacramento St.,Eastern Washington,2026 Eastern Washington,Away,,,0,,,0,,
