game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20103113a,a,3113,2010,Midwest,Sweet 16,6,2010 Tennessee,2,2010 Ohio St.,76,73,3,149,1
20103213a,a,3213,2010,West,Sweet 16,1,2010 Syracuse,5,2010 Butler,59,63,-4,122,0
20103214a,a,3214,2010,West,Sweet 16,6,2010 Xavier,2,2010 Kansas St.,96,101,-5,197,0
20103313a,a,3313,2010,East,Sweet 16,1,2010 Kentucky,12,2010 Cornell,62,45,17,107,1
20103314a,a,3314,2010,East,Sweet 16,11,2010 Washington,2,2010 West Virginia,56,69,-13,125,0
20103413a,a,3413,2010,South,Sweet 16,1,2010 Duke,4,2010 Purdue,70,57,13,127,1
20103414a,a,3414,2010,South,Sweet 16,3,2010 Baylor,10,2010 Saint Mary's,72,49,23,121,1
20104115a,a,4115,2010,Midwest,Elite Eight,5,2010 Michigan St.,6,2010 Tennessee,70,69,1,139,1
20104215a,a,4215,2010,West,Elite Eight,5,2010 Butler,2,2010 Kansas St.,63,56,7,119,1
20104315a,a,4315,2010,East,Elite Eight,1,2010 Kentucky,2,2010 West Virginia,66,73,-7,139,0
20104415a,a,4415,2010,South,Elite Eight,1,2010 Duke,3,2010 Baylor,78,71,7,149,1
20105516a,a,5516,2010,Final Four,Final Four,5,2010 Michigan St.,5,2010 Butler,50,52,-2,102,0
20105517a,a,5517,2010,Final Four,Final Four,2,2010 West Virginia,1,2010 Duke,57,78,-21,135,0
20105618a,a,5618,2010,Final Four,Championship,5,2010 Butler,1,2010 Duke,59,61,-2,120,0
20111101a,a,1101,2011,East,First Round,1,2011 Ohio St.,16,2011 UTSA,75,46,29,121,1
20111102a,a,1102,2011,East,First Round,8,2011 George Mason,9,2011 Villanova,61,57,4,118,1
20111103a,a,1103,2011,East,First Round,5,2011 West Virginia,12,2011 Clemson,84,76,8,160,1
20111104a,a,1104,2011,East,First Round,4,2011 Kentucky,13,2011 Princeton,59,57,2,116,1
20111105a,a,1105,2011,East,First Round,6,2011 Xavier,11,2011 Marquette,55,66,-11,121,0
20111106a,a,1106,2011,East,First Round,3,2011 Syracuse,14,2011 Indiana St.,77,60,17,137,1
20111107a,a,1107,2011,East,First Round,7,2011 Washington,10,2011 Georgia,68,65,3,133,1
20111108a,a,1108,2011,East,First Round,2,2011 North Carolina,15,2011 LIU,102,87,15,189,1
20111201a,a,1201,2011,West,First Round,1,2011 Duke,16,2011 Hampton,87,45,42,132,1
20111202a,a,1202,2011,West,First Round,8,2011 Michigan,9,2011 Tennessee,75,45,30,120,1
20111203a,a,1203,2011,West,First Round,5,2011 Arizona,12,2011 Memphis,77,75,2,152,1
20111204a,a,1204,2011,West,First Round,4,2011 Texas,13,2011 Oakland,85,81,4,166,1
20111205a,a,1205,2011,West,First Round,6,2011 Cincinnati,11,2011 Missouri,78,63,15,141,1
20111206a,a,1206,2011,West,First Round,3,2011 Connecticut,14,2011 Bucknell,81,52,29,133,1
20111207a,a,1207,2011,West,First Round,7,2011 Temple,10,2011 Penn St.,66,64,2,130,1
