year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,win,wab,barthag,adj_oe,adj_de,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo
2021,South,Elite Eight,4,2021 Indiana,3,2021 Arizona,0,0,-0.004,-18.9,18,-9.2,12.4,-58.1,59.9,-42.2,46,-41.6,49.2,-10.3,14.9,-38.5,37.5,-45.4,43.4,1
2021,Final Four,Championship,1,2021 Stanford,3,2021 Arizona,1,6.8,0.011,-5,23.9,-5.2,17.2,-55.5,59,-32.9,44.6,-52.2,48.4,-9.1,19.2,-31.1,42.2,-33.9,35.1,0.4
2021,Final Four,Final Four,1,2021 Connecticut,3,2021 Arizona,0,1.7,0.01,-11.5,24.8,-1.7,16.5,-53.9,55.8,-34.3,46.1,-49.2,58.3,-2.5,18.4,-33.2,41.8,-38.8,33.5,0.9
2021,South,Sweet 16,2,2021 Texas A&M,3,2021 Arizona,0,3.3,-0.0145,-18.6,14.4,-6.9,10.9,-53.3,58.4,-39.4,43.7,-37.4,52.5,-11.5,14.5,-29.4,35.9,-48.5,34.8,0.1
2021,East,Sweet 16,2,2021 Louisville,6,2021 Oregon,1,3.7,-0.0008,-3.4,3.3,-4.1,7.9,-61.5,60.5,-37,34.3,-52.8,50.7,-6.1,9,-33.5,37.1,-34.2,37.8,0.9
2022,South,Sweet 16,10,2022 Creighton,3,2022 Iowa St.,1,-7.8,-0.0352,-3.8,-5,-1.8,0.9,-63.7,60.7,-43.7,43.8,-62.3,49.8,-3.7,7.6,-32.6,26.9,-22.1,27.1,-1
2023,South,Sweet 16,2,2023 Maryland,3,2023 Notre Dame,1,0.4,-0.0064,-9.9,8.3,-10.5,2.8,-60.8,52.3,-41.1,28.6,-49,40.1,-13.2,4,-35.8,34.7,-42.4,38,3
2024,South,Sweet 16,3,2024 Oregon St.,2,2024 Notre Dame,1,-0.7,-0.0072,-12.2,9.6,-5.2,10.3,-55.4,67.1,-41.6,39.9,-52.2,52.7,-5.3,12.1,-36.6,36.9,-31.8,46.8,-5.8
2025,South,Sweet 16,3,2025 LSU,2,2025 North Carolina St.,1,-0.2,0.0019,-3.5,4,-7,7.9,-61.9,61,-30.5,39.9,-50.6,46.7,-8.2,7,-35.9,39.6,-44.7,30.4,2.8
2021,West,Sweet 16,6,2021 Texas,2,2021 Maryland,1,-6.6,-0.0262,-10.5,-8,-8.6,-2.5,-58.3,56.3,-31.2,29.9,-45.9,38,-11.6,0.4,-34.3,27,-41.5,43.7,-3.8
2022,Midwest,Sweet 16,3,2022 Michigan,10,2022 South Dakota,1,4.1,0.0253,-11.4,18.1,-8.5,6.3,-49.8,61.3,-33.1,44,-39.4,51.8,-8.5,7.9,-39.4,35.4,-37.1,34.7,3
2024,Midwest,Sweet 16,3,2024 North Carolina St.,2,2024 Stanford,1,-2.4,-0.0061,-9.8,2.1,-12.2,7.5,-66,63.4,-43.5,35.5,-52.8,59.8,-14.5,9.4,-38.2,35.8,-37.5,32.6,1.9
2025,Midwest,Sweet 16,2,2025 Duke,3,2025 North Carolina,1,1.9,0.011,-14.1,22.2,-10,9.3,-55.2,52.6,-31.6,39.7,-51.2,48.8,-12.1,11.2,-37,36.8,-37.8,38,0.3
2022,West,Sweet 16,2,2022 Texas,6,2022 Ohio St.,1,5.2,0.0335,-7.3,16,-7.5,4.7,-54.8,51.9,-32.8,43.3,-40.6,35.8,-9.8,6.7,-33.5,34,-47.3,35.1,-5.7
2023,West,Sweet 16,3,2023 Ohio St.,2,2023 Connecticut,1,-4.9,-0.0287,-14.5,-0.3,-7.9,-1.8,-61.7,50.2,-44.4,33.2,-49.4,44.6,-8.1,-2.9,-38.4,33.6,-28.3,38.7,3.1
2024,East,Sweet 16,3,2024 LSU,2,2024 UCLA,1,-2.7,-0.0035,-5.4,3.1,-8.3,7.8,-58.8,53.2,-32.5,29.5,-29.3,48.3,-11.3,8.7,-35.4,37.6,-47.5,32.9,5.3
2025,East,Sweet 16,2,2025 TCU,3,2025 Notre Dame,1,0.1,-0.0046,-4.8,0.7,-3.8,5,-57.3,61.5,-39.1,39.1,-52.8,51.6,-4.7,9.2,-35,28.8,-26.9,45.9,-8.1
2021,Midwest,Sweet 16,2,2021 Baylor,6,2021 Michigan,1,6.5,0.0163,-6.1,16.4,-5,14.8,-59.8,54.2,-28.2,36.4,-42.9,36.6,-6.1,14.9,-35.8,43.7,-53.2,39.2,3.1
2022,East,Sweet 16,2,2022 Connecticut,3,2022 Indiana,1,0.9,0.0168,-9.5,18.9,-1.1,10.7,-57.9,58.1,-39.7,45.6,-56.4,50.8,0.5,12.1,-36.1,38.5,-39.4,39.2,-1.1
2024,West,Sweet 16,3,2024 Connecticut,7,2024 Duke,1,6.8,0.0231,-1.4,20.1,-3.9,9.1,-57,51.7,-38,37.2,-43.8,55.3,-5.7,9,-32.5,39.8,-40.1,32.3,3.2
2025,West,Sweet 16,2,2025 Connecticut,3,2025 Oklahoma,1,2.8,0.0097,6.2,16.7,0.1,7.9,-64.4,49.5,-44.5,36.9,-55.6,54.2,-0.5,7.5,-32.5,39.2,-30.1,21.6,-9.8
2021,East,Elite Eight,1,2021 Stanford,2,2021 Louisville,1,5,0.0141,3.8,13.3,-5.3,10,-59.3,60.5,-31,39.9,-49.9,52.9,-6.2,11,-35.7,38.9,-35,31.8,0.6
